Index,director name,film name,title code,score,year
0,nm0654858,Francesco Nuti... e vengo da lontano,tt6324908,7.7,2010
1,nm0654858,Voi siete qui,tt2024553,7.6,2011
2,nm0654858,La finestra di fronte,tt0352343,7.3,2003
3,nm0654858,Le fate ignoranti,tt0274497,7.3,2001
4,nm0654858,Scusate il ritardo,tt0084646,7.3,1983
5,nm0654858,Mine vaganti,tt1405810,7.2,2010
6,nm0654858,Mortacci,tt0097913,7,1989
7,nm0654858,Cebimdeki Yabanci,tt7862330,6.9,2018
8,nm0654858,Il bagno turco,tt0119248,6.8,1997
9,nm0654858,Saturno contro,tt0890885,6.7,2007
10,nm0654858,La scorta,tt0108059,6.7,1993
11,nm0654858,Son contento,tt0086338,6.7,1983
12,nm0654858,Magnifica presenza,tt2281345,6.6,2012
13,nm0654858,Il branco,tt0110761,6.6,1994
14,nm0654858,Il volpone,tt0096400,6.6,1988
15,nm0654858,Willy Signori e vengo da lontano,tt0100938,6.6,1989
16,nm0654858,Allacciate le cinture,tt3425034,6.5,2014
17,nm0654858,Ultrà,tt0100835,6.5,1991
18,nm0654858,Un giorno perfetto,tt1056067,6.5,2008
19,nm0654858,Cuore sacro,tt0429898,6.4,2005
20,nm0654858,La dea fortuna,tt1025657,6.3,2019
21,nm0654858,Harem suare,tt0179841,6.2,1999
22,nm0654858,Donne con le gonne,tt0104122,6,1991
23,nm0654858,Noi uomini duri,tt0093645,5.9,1987
24,nm0654858,Napoli velata,tt6892206,5.8,2017
25,nm0654858,Vite strozzate,tt0118097,5.8,1996
26,nm0654858,Il tenente dei carabinieri,tt0163333,5.7,1986
27,nm0654858,Rosso Istanbul,tt5927352,5.5,2017
28,nm0654858,Anche i commercialisti hanno un'anima,tt0128929,4.7,1994
29,nm0654858,OcchioPinocchio,tt0110708,4.2,1994
30,nm0000694,"Film, the Living Record of our Memory",tt1543919,9,2021
31,nm0000694,Il sale della terra,tt3674140,8.5,2014
32,nm0000694,Beyond the Bolex,tt6799420,8.3,2018
33,nm0000694,In My Own Time: A Portrait of Karen Dalton,tt1332962,8.2,2020
34,nm0000694,"Paris, Texas",tt0087884,8.1,1984
35,nm0000694,Lumière!,tt5954462,8.1,2016
36,nm0000694,Il cielo sopra Berlino,tt0093191,8,1987
37,nm0000694,Alice nelle città,tt0069687,8,1974
38,nm0000694,Charlie: The Life and Art of Charles Chaplin,tt0379730,7.9,2003
39,nm0000694,Autoluminescent: Rowland S. Howard,tt2015298,7.9,2011
40,nm0000694,Janela da Alma,tt0297986,7.9,2001
41,nm0000694,Nel corso del tempo,tt0073152,7.8,1976
42,nm0000694,Sing Me the Songs That Say I Love You: A Concert for Kate McGarrigle,tt2419978,7.8,2012
43,nm0000694,Taxisti di notte,tt0102536,7.7,1991
44,nm0000694,Pina,tt1440266,7.7,2011
45,nm0000694,It Must Schwing: The Blue Note Story,tt8661880,7.7,2018
46,nm0000694,Das ist ja das Leben selbst!,tt1855167,7.7,2012
47,nm0000694,Stories We Tell,tt2366450,7.6,2012
48,nm0000694,Buena Vista Social Club,tt0186508,7.6,1999
49,nm0000694,Problema,tt1672104,7.6,2010
50,nm0000694,Harry Dean Stanton: Partly Fiction,tt2372776,7.5,2012
51,nm0000694,Ten Years After,tt0063677,7.5,1969
52,nm0000694,Von einem der auszog - Wim Wenders' frühe Jahre,tt0949576,7.5,2007
53,nm0000694,L'amico americano,tt0075675,7.4,1977
54,nm0000694,Tokyo-Ga,tt0090182,7.4,1985
55,nm0000694,L'anima di un uomo,tt0368287,7.4,2003
56,nm0000694,Straight to you: Nick Cave - a portrait,tt8358314,7.4,1994
57,nm0000694,Gegenschuss - Aufbruch der Filmemacher,tt1158864,7.4,2008
58,nm0000694,Così lontano così vicino,tt0107209,7.3,1993
59,nm0000694,United States vs. Reality Winner,tt1282144,7.3,2021
60,nm0000694,Garlic Is as Good as Ten Mothers,tt0080776,7.3,1980
61,nm0000694,Wim Wenders: Desperado,tt1265109,7.3,2020
62,nm0000694,Dani Karavan,tt1362885,7.3,2020
63,nm0000694,Still Alive: Film o Krzysztofie Kieslowskim,tt6443982,7.3,2006
64,nm0000694,A dokumentátor,tt0097220,7.3,1988
65,nm0000694,Jonas at the Ocean,tt0266670,7.3,2002
66,nm0000694,Corri ragazzo corri,tt1608516,7.2,2013
67,nm0000694,Lisbon Story,tt0110361,7.2,1994
68,nm0000694,Ten Minutes Older: The Trumpet,tt0304808,7.2,2002
69,nm0000694,Un ultimo tango,tt4937156,7.2,2015
70,nm0000694,Erika Rabau: Puck of Berlin,tt1185353,7.2,2008
71,nm0000694,A Fuller Life,tt2972098,7.1,2013
72,nm0000694,Bar25,tt2292591,7.1,2012
73,nm0000694,Edgar G. Ulmer: The Man Off-Screen,tt0435638,7.1,2004
74,nm0000694,Auge in Auge - Eine deutsche Filmgeschichte,tt1179024,7.1,2008
75,nm0000694,The One Dollar Diary,tt0279288,7.1,2001
76,nm0000694,I Played It for You,tt0087158,7.1,1985
77,nm0000694,Falso movimento,tt0071483,7,1975
78,nm0000694,Lo stato delle cose,tt0084725,7,1982
79,nm0000694,A Black Jesus,tt1104243,7,2020
80,nm0000694,National Bird,tt5525310,7,2016
81,nm0000694,Robby Müller: Living the Light,tt8842066,7,2018
82,nm0000694,King Kongs Faust,tt0087560,7,1985
83,nm0000694,Junimond,tt0347293,7,2002
84,nm0000694,Schneeweißrosenrot,tt0102854,7,1991
85,nm0000694,Lumière and Company,tt0113718,6.9,1995
86,nm0000694,Buena Vista Social Club: Adios,tt4653272,6.9,2017
87,nm0000694,Fassbinder in Hollywood,tt0325360,6.9,2002
88,nm0000694,Mikrofan,tt1210082,6.9,2007
89,nm0000694,Was heißt hier Ende?,tt4382666,6.9,2015
90,nm0000694,Mondo Lux - Die Bilderwelten des Werner Schroeter,tt1838602,6.9,2011
91,nm0000694,...als Diesel geboren,tt0078719,6.9,1979
